"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEMA4C",-1.37629731028962,2.58787716718595,-19.6758590088761,2.0275790874512e-39,2.16494757062602e-35,79.0536329561561
"TMEM74",-1.96691384559146,2.71187865989256,-19.513760576007,4.33571104170337e-39,3.08630364318585e-35,78.3068025213824
"MTERF2",-1.96175194064315,2.65979898004545,-19.3191253592966,1.08468347205763e-38,5.22933317988808e-35,77.405511989104
"CSDE1",-1.51915183165444,2.62039029573554,-19.2934869890684,1.22438145162446e-38,5.22933317988808e-35,77.2864185838815
"HMGN4",-1.51608521952397,2.68660275841598,-19.1427539969036,2.50019427079329e-38,8.89860810879843e-35,76.5844993265027
"RBM17",-1.16428817336442,2.54496410845868,-18.9614403417489,5.92366599216221e-38,1.80714124660892e-34,75.7362201989383
"RPS16",-1.28956931644404,2.54315332280578,-18.8496707594914,1.01023344371094e-37,2.44214989016353e-34,75.2111521665472
"SLC1A5",-3.61100601371727,2.85086704899174,-18.8457747255068,1.0292366664234e-37,2.44214989016353e-34,75.1928198824972
"SPATA31H1",-3.61375752206285,3.62321833866942,-18.7261772134457,1.82545037329105e-37,3.89824927216303e-34,74.6290991222369
"CYLC2",-5.37890761199382,3.27606224777686,-18.6800092948467,2.27848076399584e-37,4.11696194244498e-34,74.410984838289
"RGL2",-4.5962494901375,3.25789273910744,-18.6768400817871,2.31344150359821e-37,4.11696194244498e-34,74.3960020391871
"ZNF527",-2.45122141550966,3.43231033585537,-18.4990078644652,5.44783750370374e-37,8.9491207608918e-34,73.5531680314008
"SNCAIP-AS3",-1.94463663434196,2.69223175962397,-17.9738193069363,6.99661521677e-36,1.06723369967231e-32,71.0398455214651
"CRH",-1.88197242418867,2.82871993322314,-17.5783390503099,4.89453341684793e-35,6.9681840744525e-32,69.123485476195
"ZNF718",-1.4811809993624,2.62666196530854,-17.3855680150918,1.27232223530114e-34,1.62059128982097e-31,68.182027707578
"LOC101927531",-2.81629783543441,2.76140168543802,-17.3752885110688,1.33899057644842e-34,1.62059128982097e-31,68.1316897054223
"MXRA5",-4.04087666820082,3.08004860478512,-17.3712716277986,1.3659865706756e-34,1.62059128982097e-31,68.1120156098113
"MPP2",-2.72391841078654,2.83125724221488,-17.2604687891502,2.37091746964976e-34,2.66478645075635e-31,67.568500321644
"FLJ30679",-3.86820088589373,3.4952809537438,-17.1805176113706,3.53281733171791e-34,3.77216570594179e-31,67.1753394013695
