"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HOXD1",2.56820902321318,8.09668420129752,15.2274547638211,7.64986676114745e-30,4.53785846345289e-27,57.3230478448044
"SASH3",2.68367106030369,6.29248826758678,14.3198426795173,9.17763187665024e-28,3.56342415865211e-25,52.5922913699183
"ZFP64",1.36023362831332,5.52035451579132,14.0285580241459,4.3429667054555e-27,1.25329802695949e-24,51.0556121341858
"ORC4",2.86574362859779,9.01653438360744,13.4280705988871,1.09730713600791e-25,2.4928716903669e-23,47.8620924201506
"CFAP97",1.55473180912851,5.81172754164876,13.349146846614,1.68148000114532e-25,3.66408218616922e-23,47.4399586578711
"EMILIN1",2.91226439926296,7.8788104871405,13.2072749559405,3.62625506046214e-25,7.30553554869518e-23,46.6798270014938
"IRX1",3.9511091318037,8.10817728338843,13.1951598661061,3.87251331046002e-25,7.7287403499882e-23,46.614839401089
"NOMO2",3.47307554227428,8.4162746443719,13.103902907907,6.35464630769068e-25,1.23366792637031e-22,46.1249423136055
"COLEC12",1.47351813124064,4.48271613545455,12.6696338522985,6.76698498069389e-24,1.1468965417676e-21,43.7850097974999
"ENPP4",1.79627278024145,9.36228232617355,12.4755878650466,1.95546387034081e-23,3.16355537508546e-21,42.7352192393182
"BCAR3",4.35397978178051,7.32172688150413,12.0138780434783,2.46414865874637e-22,3.26844065885272e-20,40.2284430649547
"CCDC106",2.83189263693492,7.44155158536364,11.9522180647213,3.45928501429989e-22,4.42353481918408e-20,39.8928409916774
"PITRM1",3.58880268092247,7.53538935904545,11.8739305078917,5.3228041670913e-22,6.6863813522491e-20,39.4664936496558
"EBPL",2.63769646075335,7.85986707441322,11.8726347933759,5.36091597683892e-22,6.69487489388276e-20,39.4594350788858
"ISL1",3.75139392932746,6.70037218535537,11.7739246530168,9.23377457637734e-22,1.12678432044879e-19,38.9214968329947
"TLX2",2.34927796295641,5.92935664218595,11.6982280745288,1.40145397092652e-21,1.63541254366862e-19,38.5087187485789
"GRIK4",3.0415358735124,7.37368983096694,11.6694442683542,1.64249767383666e-21,1.86572009706286e-19,38.3517042561612
"ARID4A",2.26783102672479,7.67080560723141,11.6474728591506,1.85407089062511e-21,2.06217103485934e-19,38.2318317331975
"SLC6A17",2.31955218258424,6.89948561897521,11.5462289946726,3.2411383778366e-21,3.46072550293503e-19,37.6792565080172
